(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-14746;CANALETA PARA DRENAGEM, EM CONCRETOPEDREIRO COM ENCARGOS COMPLEMENTARES ;ED-50381 ;hora  ;0,1466667;22,09;3,23;
Serviço: ED-14746;CANALETA PARA DRENAGEM, EM CONCRETOREATERRO COMPACTADO DE VALA COM EQUIPAMENTO PLACA VIBRATÓRIA ;ED-51121 ;m3    ;0,1480000;33,41;4,94;
Serviço: ED-14746;CANALETA PARA DRENAGEM, EM CONCRETOSERVENTE COM ENCARGOS COMPLEMENTARES ;ED-50367 ;hora  ;0,1466667;15,71;2,30;
Serviço: ED-14746;CANALETA PARA DRENAGEM, EM CONCRETOTRANSPORTE DE MATERIAL DEMOLIDO EM CAÇAMBA ;ED-51125 ;m3    ;0,1258000;30,00;3,77;
Serviço: ED-14746;CANALETA PARA DRENAGEM, EM CONCRETOTRANSPORTE, LANÇAMENTO E ADENSAMENTO E ACABAMENTO DE CONCRETO EM FUNDAÇÃO /RADIER ;ED-48324 ;m3    ;0,0690900;85,52;5,90;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-14747;CANALETA PARA DRENAGEM, EM CONCRETOAPILOAMENTO DO FUNDO DE VALAS COM SOQUETE ;ED-51093 ;m2    ;0,6000000;18,06;10,83;
Serviço: ED-14747;CANALETA PARA DRENAGEM, EM CONCRETOAPLICAÇÃO DE LONA PRETA, ESP. 150 MICRAS, INCLUSIVE FORNECIMENTO ;ED-50600 ;m2    ;0,6300000;2,44;1,53;
Serviço: ED-14747;CANALETA PARA DRENAGEM, EM CONCRETOCONCRETO NÃO ESTRUTURAL, PREPARADO EM OBRA COM BETONEIRA , CONTROLE "B", COM FCK 15 MPA, BRITA Nº (1 E 2), CONSISTÊNCIA PARA VIBRAÇÃO (FABRICAÇÃO) ;ED-48315 ;m3    ;0,0690900;390,10;26,95;
Serviço: ED-14747;CANALETA PARA DRENAGEM, EM CONCRETOESCAVAÇÃO MANUAL DE VALA COM PROFUNDIDADE  MENOR OU IGUAL A 1,5M ;ED-51107 ;m3    ;0,2738000;53,41;14,62;
Serviço: ED-14747;CANALETA PARA DRENAGEM, EM CONCRETOFORMA E DESFORMA DE TÁBUA E SARRAFO, REAPROVEITAMENTO (3X) ( FUNDAÇÃO) ;ED-49810 ;m2    ;1,4800000;47,03;69,60;
Serviço: ED-14747;CANALETA PARA DRENAGEM, EM CONCRETOPEDREIRO COM ENCARGOS COMPLEMENTARES ;ED-50381 ;hora  ;0,1466667;22,09;3,23;
Serviço: ED-14747;CANALETA PARA DRENAGEM, EM CONCRETOREATERRO COMPACTADO DE VALA COM EQUIPAMENTO PLACA VIBRATÓRIA ;ED-51121 ;m3    ;0,1480000;33,41;4,94;
Serviço: ED-14747;CANALETA PARA DRENAGEM, EM CONCRETOSERVENTE COM ENCARGOS COMPLEMENTARES ;ED-50367 ;hora  ;0,1466667;15,71;2,30;
Serviço: ED-14747;CANALETA PARA DRENAGEM, EM CONCRETOSETOP-MG Internet: www.transportes.mg.gov.br FONE: (31) 3915 8309 - FAX: (31) 3915 8352 Rodovia Papa João Paulo ii, nº 4.143 (mg 010), Prédio Minas, 7º Andar - Serra Verde - cep 31630-901 - BH / MG SECRETARIA DE ESTADO DE TRANSPORTES E OBRAS PÚBLICAS Página: 801 de 3459 SUBSECRETARIA DE OBRAS PÚBLICAS SUPERINTENDÊNCIA DE COORDENAÇÃO TÉCNICA DIRETORIA DE CUSTOS TAMPA EM CONCRETO COM FCK 15MPA, MOLDADA IN LOCO, PARA CANALETA COM LARGURA 30CM, ESP. 4CM, INCLUSIVE ARMAÇÃO CA- 50, DIÂMETRO 6,3MM ( FABRICAÇÃO) ;ED-14588 ;m     ;1,0000000;33,36;33,36;
Serviço: ED-14747;CANALETA PARA DRENAGEM, EM CONCRETOTRANSPORTE DE MATERIAL DEMOLIDO EM CAÇAMBA ;ED-51125 ;m3    ;0,1258000;30,00;3,77;
Serviço: ED-14747;CANALETA PARA DRENAGEM, EM CONCRETOTRANSPORTE, LANÇAMENTO E ADENSAMENTO E ACABAMENTO DE CONCRETO EM FUNDAÇÃO /RADIER ;ED-48324 ;m3    ;0,0690900;85,52;5,90;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-14748;CANALETA PARA DRENAGEM, EM CONCRETOAPILOAMENTO DO FUNDO DE VALAS COM SOQUETE ;ED-51093 ;m2    ;0,6000000;18,06;10,83;
Serviço: ED-14748;CANALETA PARA DRENAGEM, EM CONCRETOAPLICAÇÃO DE LONA PRETA, ESP. 150 MICRAS, INCLUSIVE FORNECIMENTO ;ED-50600 ;m2    ;0,6300000;2,44;1,53;
Serviço: ED-14748;CANALETA PARA DRENAGEM, EM CONCRETOCONCRETO NÃO ESTRUTURAL, PREPARADO EM OBRA COM BETONEIRA , CONTROLE "B", COM FCK 15 MPA, BRITA Nº (1 E 2), CONSISTÊNCIA PARA VIBRAÇÃO (FABRICAÇÃO) ;ED-48315 ;m3    ;0,1572900;390,10;61,35;
Serviço: ED-14748;CANALETA PARA DRENAGEM, EM CONCRETOESCAVAÇÃO MANUAL DE VALA COM PROFUNDIDADE  MENOR OU IGUAL A 1,5M ;ED-51107 ;m3    ;0,7178000;53,41;38,33;
Serviço: ED-14748;CANALETA PARA DRENAGEM, EM CONCRETOFORMA E DESFORMA DE TÁBUA E SARRAFO, REAPROVEITAMENTO (3X) ( FUNDAÇÃO) ;ED-49810 ;m2    ;3,8800000;47,03;182,47;
Serviço: ED-14748;CANALETA PARA DRENAGEM, EM CONCRETOREATERRO COMPACTADO DE VALA COM EQUIPAMENTO PLACA VIBRATÓRIA ;ED-51121 ;m3    ;0,3880000;33,41;12,96;
Serviço: ED-14748;CANALETA PARA DRENAGEM, EM CONCRETOTRANSPORTE DE MATERIAL DEMOLIDO EM CAÇAMBA ;ED-51125 ;m3    ;0,3298000;30,00;9,89;
Serviço: ED-14748;CANALETA PARA DRENAGEM, EM CONCRETOSETOP-MG Internet: www.transportes.mg.gov.br FONE: (31) 3915 8309 - FAX: (31) 3915 8352 Rodovia Papa João Paulo ii, nº 4.143 (mg 010), Prédio Minas, 7º Andar - Serra Verde - cep 31630-901 - BH / MG SECRETARIA DE ESTADO DE TRANSPORTES E OBRAS PÚBLICAS Página: 803 de 3459 SUBSECRETARIA DE OBRAS PÚBLICAS SUPERINTENDÊNCIA DE COORDENAÇÃO TÉCNICA DIRETORIA DE CUSTOS TRANSPORTE, LANÇAMENTO E ADENSAMENTO E ACABAMENTO DE CONCRETO EM FUNDAÇÃO /RADIER ;ED-48324 ;m3    ;0,1572900;85,52;13,45;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-14718;CANALETA PARA DRENAGEM, EM CONCRETOAPILOAMENTO DO FUNDO DE VALAS COM SOQUETE ;ED-51093 ;m2    ;0,4400000;18,06;7,94;
Serviço: ED-14718;CANALETA PARA DRENAGEM, EM CONCRETOAPLICAÇÃO DE LONA PRETA, ESP. 150 MICRAS, INCLUSIVE FORNECIMENTO ;ED-50600 ;m2    ;1,4490000;2,44;3,53;
Serviço: ED-14718;CANALETA PARA DRENAGEM, EM CONCRETOCONCRETO NÃO ESTRUTURAL, PREPARADO EM OBRA COM BETONEIRA , CONTROLE "B", COM FCK 15 MPA, BRITA Nº (1 E 2), CONSISTÊNCIA PARA VIBRAÇÃO (FABRICAÇÃO) ;ED-48315 ;m3    ;0,0764400;390,10;29,81;
Serviço: ED-14718;CANALETA PARA DRENAGEM, EM CONCRETOESCAVAÇÃO MANUAL DE VALA COM PROFUNDIDADE  MENOR OU IGUAL A 1,5M ;ED-51107 ;m3    ;0,1628000;53,41;8,69;
Serviço: ED-14718;CANALETA PARA DRENAGEM, EM CONCRETOFORMA E DESFORMA DE TÁBUA E SARRAFO, REAPROVEITAMENTO (3X) ( FUNDAÇÃO) ;ED-49810 ;m2    ;0,6000000;47,03;28,21;
Serviço: ED-14718;CANALETA PARA DRENAGEM, EM CONCRETOSETOP-MG Internet: www.transportes.mg.gov.br FONE: (31) 3915 8309 - FAX: (31) 3915 8352 Rodovia Papa João Paulo ii, nº 4.143 (mg 010), Prédio Minas, 7º Andar - Serra Verde - cep 31630-901 - BH / MG SECRETARIA DE ESTADO DE TRANSPORTES E OBRAS PÚBLICAS Página: 805 de 3459 SUBSECRETARIA DE OBRAS PÚBLICAS SUPERINTENDÊNCIA DE COORDENAÇÃO TÉCNICA DIRETORIA DE CUSTOS GRELHA COM 30CM DE LARGURA PARA CANALETA EM BARRA REDONDA DN 12,5MM (1/2") COM REQUADRO EM BARRA REDONDA DN 20MM (3/4"), INCLUSIVE UMA (1) DEMÃO DE FUNDO ANTICORROSIVO E DUAS (2 ) DEMÃOS DE PINTURA ESMALTE (FABRICAÇÃO) ;ED-14574 ;m     ;1,0000000;161,78;161,78;
Serviço: ED-14718;CANALETA PARA DRENAGEM, EM CONCRETOPEDREIRO COM ENCARGOS COMPLEMENTARES ;ED-50381 ;hora  ;0,1466667;22,09;3,23;
Serviço: ED-14718;CANALETA PARA DRENAGEM, EM CONCRETOSERVENTE COM ENCARGOS COMPLEMENTARES ;ED-50367 ;hora  ;0,1466667;15,71;2,30;
Serviço: ED-14718;CANALETA PARA DRENAGEM, EM CONCRETOTRANSPORTE DE MATERIAL DEMOLIDO EM CAÇAMBA ;ED-51125 ;m3    ;0,1628000;30,00;4,88;
Serviço: ED-14718;CANALETA PARA DRENAGEM, EM CONCRETOTRANSPORTE, LANÇAMENTO E ADENSAMENTO E ACABAMENTO DE CONCRETO EM FUNDAÇÃO /RADIER ;ED-48324 ;m3    ;0,0764400;85,52;6,53;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-14719;CANALETA PARA DRENAGEM, EM CONCRETOAPILOAMENTO DO FUNDO DE VALAS COM SOQUETE ;ED-51093 ;m2    ;0,4400000;18,06;7,94;
Serviço: ED-14719;CANALETA PARA DRENAGEM, EM CONCRETOAPLICAÇÃO DE LONA PRETA, ESP. 150 MICRAS, INCLUSIVE FORNECIMENTO ;ED-50600 ;m2    ;1,4490000;2,44;3,53;
Serviço: ED-14719;CANALETA PARA DRENAGEM, EM CONCRETOCONCRETO NÃO ESTRUTURAL, PREPARADO EM OBRA COM BETONEIRA , CONTROLE "B", COM FCK 15 MPA, BRITA Nº (1 E 2), CONSISTÊNCIA PARA VIBRAÇÃO (FABRICAÇÃO) ;ED-48315 ;m3    ;0,0764400;390,10;29,81;
Serviço: ED-14719;CANALETA PARA DRENAGEM, EM CONCRETOESCAVAÇÃO MANUAL DE VALA COM PROFUNDIDADE  MENOR OU IGUAL A 1,5M ;ED-51107 ;m3    ;0,1628000;53,41;8,69;
Serviço: ED-14719;CANALETA PARA DRENAGEM, EM CONCRETOFORMA E DESFORMA DE TÁBUA E SARRAFO, REAPROVEITAMENTO (3X) ( FUNDAÇÃO) ;ED-49810 ;m2    ;0,6000000;47,03;28,21;
Serviço: ED-14719;CANALETA PARA DRENAGEM, EM CONCRETOPEDREIRO COM ENCARGOS COMPLEMENTARES ;ED-50381 ;hora  ;0,1466667;22,09;3,23;
Serviço: ED-14719;CANALETA PARA DRENAGEM, EM CONCRETOSERVENTE COM ENCARGOS COMPLEMENTARES ;ED-50367 ;hora  ;0,1466667;15,71;2,30;
Serviço: ED-14719;CANALETA PARA DRENAGEM, EM CONCRETOSETOP-MG Internet: www.transportes.mg.gov.br FONE: (31) 3915 8309 - FAX: (31) 3915 8352 Rodovia Papa João Paulo ii, nº 4.143 (mg 010), Prédio Minas, 7º Andar - Serra Verde - cep 31630-901 - BH / MG SECRETARIA DE ESTADO DE TRANSPORTES E OBRAS PÚBLICAS Página: 807 de 3459 SUBSECRETARIA DE OBRAS PÚBLICAS SUPERINTENDÊNCIA DE COORDENAÇÃO TÉCNICA DIRETORIA DE CUSTOS TAMPA EM CONCRETO COM FCK 15MPA, MOLDADA IN LOCO, PARA CANALETA COM LARGURA 30CM, ESP. 4CM, INCLUSIVE ARMAÇÃO CA- 50, DIÂMETRO 6,3MM ( FABRICAÇÃO) ;ED-14588 ;m     ;1,0000000;33,36;33,36;
Serviço: ED-14719;CANALETA PARA DRENAGEM, EM CONCRETOTRANSPORTE DE MATERIAL DEMOLIDO EM CAÇAMBA ;ED-51125 ;m3    ;0,1628000;30,00;4,88;
Serviço: ED-14719;CANALETA PARA DRENAGEM, EM CONCRETOTRANSPORTE, LANÇAMENTO E ADENSAMENTO E ACABAMENTO DE CONCRETO EM FUNDAÇÃO /RADIER ;ED-48324 ;m3    ;0,0764400;85,52;6,53;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-14722;CANALETA PARA DRENAGEM, EM CONCRETOAPILOAMENTO DO FUNDO DE VALAS COM SOQUETE ;ED-51093 ;m2    ;0,4400000;18,06;7,94;
Serviço: ED-14722;CANALETA PARA DRENAGEM, EM CONCRETOAPLICAÇÃO DE LONA PRETA, ESP. 150 MICRAS, INCLUSIVE FORNECIMENTO ;ED-50600 ;m2    ;1,4490000;2,44;3,53;
Serviço: ED-14722;CANALETA PARA DRENAGEM, EM CONCRETOCONCRETO NÃO ESTRUTURAL, PREPARADO EM OBRA COM BETONEIRA , CONTROLE "B", COM FCK 15 MPA, BRITA Nº (1 E 2), CONSISTÊNCIA PARA VIBRAÇÃO (FABRICAÇÃO) ;ED-48315 ;m3    ;0,0764400;390,10;29,81;
Serviço: ED-14722;CANALETA PARA DRENAGEM, EM CONCRETOESCAVAÇÃO MANUAL DE VALA COM PROFUNDIDADE  MENOR OU IGUAL A 1,5M ;ED-51107 ;m3    ;0,1628000;53,41;8,69;
Serviço: ED-14722;CANALETA PARA DRENAGEM, EM CONCRETOFORMA E DESFORMA DE TÁBUA E SARRAFO, REAPROVEITAMENTO (3X) ( FUNDAÇÃO) ;ED-49810 ;m2    ;0,6000000;47,03;28,21;
Serviço: ED-14722;CANALETA PARA DRENAGEM, EM CONCRETOTRANSPORTE DE MATERIAL DEMOLIDO EM CAÇAMBA ;ED-51125 ;m3    ;0,1628000;30,00;4,88;
Serviço: ED-14722;CANALETA PARA DRENAGEM, EM CONCRETOTRANSPORTE, LANÇAMENTO E ADENSAMENTO E ACABAMENTO DE CONCRETO EM FUNDAÇÃO /RADIER ;ED-48324 ;m3    ;0,0764400;85,52;6,53;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-14737;CANALETA PARA DRENAGEM, EM CONCRETOAPILOAMENTO DO FUNDO DE VALAS COM SOQUETE ;ED-51093 ;m2    ;0,7000000;18,06;12,64;
Serviço: ED-14737;CANALETA PARA DRENAGEM, EM CONCRETOAPLICAÇÃO DE LONA PRETA, ESP. 150 MICRAS, INCLUSIVE FORNECIMENTO ;ED-50600 ;m2    ;0,7350000;2,44;1,79;
Serviço: ED-14737;CANALETA PARA DRENAGEM, EM CONCRETOCONCRETO NÃO ESTRUTURAL, PREPARADO EM OBRA COM BETONEIRA , CONTROLE "B", COM FCK 15 MPA, BRITA Nº (1 E 2), CONSISTÊNCIA PARA VIBRAÇÃO (FABRICAÇÃO) ;ED-48315 ;m3    ;0,0764400;390,10;29,81;
Serviço: ED-14737;CANALETA PARA DRENAGEM, EM CONCRETOESCAVAÇÃO MANUAL DE VALA COM PROFUNDIDADE  MENOR OU IGUAL A 1,5M ;ED-51107 ;m3    ;0,3108000;53,41;16,59;
Serviço: ED-14737;CANALETA PARA DRENAGEM, EM CONCRETOFORMA E DESFORMA DE TÁBUA E SARRAFO, REAPROVEITAMENTO (3X) ( FUNDAÇÃO) ;ED-49810 ;m2    ;1,4800000;47,03;69,60;
Serviço: ED-14737;CANALETA PARA DRENAGEM, EM CONCRETOSETOP-MG Internet: www.transportes.mg.gov.br FONE: (31) 3915 8309 - FAX: (31) 3915 8352 Rodovia Papa João Paulo ii, nº 4.143 (mg 010), Prédio Minas, 7º Andar - Serra Verde - cep 31630-901 - BH / MG SECRETARIA DE ESTADO DE TRANSPORTES E OBRAS PÚBLICAS Página: 811 de 3459 SUBSECRETARIA DE OBRAS PÚBLICAS SUPERINTENDÊNCIA DE COORDENAÇÃO TÉCNICA DIRETORIA DE CUSTOS GRELHA COM 30CM DE LARGURA PARA CANALETA EM BARRA REDONDA DN 12,5MM (1/2") COM REQUADRO EM BARRA REDONDA DN 20MM (3/4"), INCLUSIVE UMA (1) DEMÃO DE FUNDO ANTICORROSIVO E DUAS (2 ) DEMÃOS DE PINTURA ESMALTE (FABRICAÇÃO) ;ED-14574 ;m     ;1,0000000;161,78;161,78;
Serviço: ED-14737;CANALETA PARA DRENAGEM, EM CONCRETOPEDREIRO COM ENCARGOS COMPLEMENTARES ;ED-50381 ;hora  ;0,1466667;22,09;3,23;
Serviço: ED-14737;CANALETA PARA DRENAGEM, EM CONCRETOREATERRO COMPACTADO DE VALA COM EQUIPAMENTO PLACA VIBRATÓRIA ;ED-51121 ;m3    ;0,1480000;33,41;4,94;
Serviço: ED-14737;CANALETA PARA DRENAGEM, EM CONCRETOSERVENTE COM ENCARGOS COMPLEMENTARES ;ED-50367 ;hora  ;0,1466667;15,71;2,30;
Serviço: ED-14737;CANALETA PARA DRENAGEM, EM CONCRETOTRANSPORTE DE MATERIAL DEMOLIDO EM CAÇAMBA ;ED-51125 ;m3    ;0,1628000;30,00;4,88;
Serviço: ED-14737;CANALETA PARA DRENAGEM, EM CONCRETOTRANSPORTE, LANÇAMENTO E ADENSAMENTO E ACABAMENTO DE CONCRETO EM FUNDAÇÃO /RADIER ;ED-48324 ;m3    ;0,0764400;85,52;6,53;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-14739;CANALETA PARA DRENAGEM, EM CONCRETOAPILOAMENTO DO FUNDO DE VALAS COM SOQUETE ;ED-51093 ;m2    ;0,7000000;18,06;12,64;
Serviço: ED-14739;CANALETA PARA DRENAGEM, EM CONCRETOAPLICAÇÃO DE LONA PRETA, ESP. 150 MICRAS, INCLUSIVE FORNECIMENTO ;ED-50600 ;m2    ;0,7350000;2,44;1,79;
Serviço: ED-14739;CANALETA PARA DRENAGEM, EM CONCRETOCONCRETO NÃO ESTRUTURAL, PREPARADO EM OBRA COM BETONEIRA , CONTROLE "B", COM FCK 15 MPA, BRITA Nº (1 E 2), CONSISTÊNCIA PARA VIBRAÇÃO (FABRICAÇÃO) ;ED-48315 ;m3    ;0,0764400;390,10;29,81;
Serviço: ED-14739;CANALETA PARA DRENAGEM, EM CONCRETOESCAVAÇÃO MANUAL DE VALA COM PROFUNDIDADE  MENOR OU IGUAL A 1,5M ;ED-51107 ;m3    ;0,3108000;53,41;16,59;
Serviço: ED-14739;CANALETA PARA DRENAGEM, EM CONCRETOFORMA E DESFORMA DE TÁBUA E SARRAFO, REAPROVEITAMENTO (3X) ( FUNDAÇÃO) ;ED-49810 ;m2    ;1,4800000;47,03;69,60;
Serviço: ED-14739;CANALETA PARA DRENAGEM, EM CONCRETOPEDREIRO COM ENCARGOS COMPLEMENTARES ;ED-50381 ;hora  ;0,1466667;22,09;3,23;
Serviço: ED-14739;CANALETA PARA DRENAGEM, EM CONCRETOREATERRO COMPACTADO DE VALA COM EQUIPAMENTO PLACA VIBRATÓRIA ;ED-51121 ;m3    ;0,1480000;33,41;4,94;
Serviço: ED-14739;CANALETA PARA DRENAGEM, EM CONCRETOSERVENTE COM ENCARGOS COMPLEMENTARES ;ED-50367 ;hora  ;0,1466667;15,71;2,30;
Serviço: ED-14739;CANALETA PARA DRENAGEM, EM CONCRETOSETOP-MG Internet: www.transportes.mg.gov.br FONE: (31) 3915 8309 - FAX: (31) 3915 8352 Rodovia Papa João Paulo ii, nº 4.143 (mg 010), Prédio Minas, 7º Andar - Serra Verde - cep 31630-901 - BH / MG SECRETARIA DE ESTADO DE TRANSPORTES E OBRAS PÚBLICAS Página: 813 de 3459 SUBSECRETARIA DE OBRAS PÚBLICAS SUPERINTENDÊNCIA DE COORDENAÇÃO TÉCNICA DIRETORIA DE CUSTOS TAMPA EM CONCRETO COM FCK 15MPA, MOLDADA IN LOCO, PARA CANALETA COM LARGURA 30CM, ESP. 4CM, INCLUSIVE ARMAÇÃO CA- 50, DIÂMETRO 6,3MM ( FABRICAÇÃO) ;ED-14588 ;m     ;1,0000000;33,36;33,36;
Serviço: ED-14739;CANALETA PARA DRENAGEM, EM CONCRETOTRANSPORTE DE MATERIAL DEMOLIDO EM CAÇAMBA ;ED-51125 ;m3    ;0,1628000;30,00;4,88;
Serviço: ED-14739;CANALETA PARA DRENAGEM, EM CONCRETOTRANSPORTE, LANÇAMENTO E ADENSAMENTO E ACABAMENTO DE CONCRETO EM FUNDAÇÃO /RADIER ;ED-48324 ;m3    ;0,0764400;85,52;6,53;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-14742;CANALETA PARA DRENAGEM, EM CONCRETOAPILOAMENTO DO FUNDO DE VALAS COM SOQUETE ;ED-51093 ;m2    ;0,7000000;18,06;12,64;
Serviço: ED-14742;CANALETA PARA DRENAGEM, EM CONCRETOAPLICAÇÃO DE LONA PRETA, ESP. 150 MICRAS, INCLUSIVE FORNECIMENTO ;ED-50600 ;m2    ;0,7350000;2,44;1,79;
Serviço: ED-14742;CANALETA PARA DRENAGEM, EM CONCRETOCONCRETO NÃO ESTRUTURAL, PREPARADO EM OBRA COM BETONEIRA , CONTROLE "B", COM FCK 15 MPA, BRITA Nº (1 E 2), CONSISTÊNCIA PARA VIBRAÇÃO (FABRICAÇÃO) ;ED-48315 ;m3    ;0,0764400;390,10;29,81;
Serviço: ED-14742;CANALETA PARA DRENAGEM, EM CONCRETOESCAVAÇÃO MANUAL DE VALA COM PROFUNDIDADE  MENOR OU IGUAL A 1,5M ;ED-51107 ;m3    ;0,3108000;53,41;16,59;
Serviço: ED-14742;CANALETA PARA DRENAGEM, EM CONCRETOFORMA E DESFORMA DE TÁBUA E SARRAFO, REAPROVEITAMENTO (3X) ( FUNDAÇÃO) ;ED-49810 ;m2    ;1,4800000;47,03;69,60;
Serviço: ED-14742;CANALETA PARA DRENAGEM, EM CONCRETOREATERRO COMPACTADO DE VALA COM EQUIPAMENTO PLACA VIBRATÓRIA ;ED-51121 ;m3    ;0,1480000;33,41;4,94;
Serviço: ED-14742;CANALETA PARA DRENAGEM, EM CONCRETOTRANSPORTE DE MATERIAL DEMOLIDO EM CAÇAMBA ;ED-51125 ;m3    ;0,1628000;30,00;4,88;
Serviço: ED-14742;CANALETA PARA DRENAGEM, EM CONCRETOSETOP-MG Internet: www.transportes.mg.gov.br FONE: (31) 3915 8309 - FAX: (31) 3915 8352 Rodovia Papa João Paulo ii, nº 4.143 (mg 010), Prédio Minas, 7º Andar - Serra Verde - cep 31630-901 - BH / MG SECRETARIA DE ESTADO DE TRANSPORTES E OBRAS PÚBLICAS Página: 815 de 3459 SUBSECRETARIA DE OBRAS PÚBLICAS SUPERINTENDÊNCIA DE COORDENAÇÃO TÉCNICA DIRETORIA DE CUSTOS TRANSPORTE, LANÇAMENTO E ADENSAMENTO E ACABAMENTO DE CONCRETO EM FUNDAÇÃO /RADIER ;ED-48324 ;m3    ;0,0764400;85,52;6,53;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-14581;CANALETA PARA DRENAGEM, EM CONCRETOAPILOAMENTO DO FUNDO DE VALAS COM SOQUETE ;ED-51093 ;m2    ;0,6000000;18,06;10,83;
Serviço: ED-14581;CANALETA PARA DRENAGEM, EM CONCRETOAPLICAÇÃO DE LONA PRETA, ESP. 150 MICRAS, INCLUSIVE FORNECIMENTO ;ED-50600 ;m2    ;1,8900000;2,44;4,61;
Serviço: ED-14581;CANALETA PARA DRENAGEM, EM CONCRETOCONCRETO NÃO ESTRUTURAL, PREPARADO EM OBRA COM BETONEIRA , CONTROLE "B", COM FCK 15 MPA, BRITA Nº (1 E 2), CONSISTÊNCIA PARA VIBRAÇÃO (FABRICAÇÃO) ;ED-48315 ;m3    ;0,1470000;390,10;57,34;
Serviço: ED-14581;CANALETA PARA DRENAGEM, EM CONCRETOCORTE, DOBRA E MONTAGEM DE AÇO CA-60 DIÂMETRO (4,2MM A 5,0MM) ;ED-48297 ;Kg    ;3,9424000;15,37;60,59;
Serviço: ED-14581;CANALETA PARA DRENAGEM, EM CONCRETOESCAVAÇÃO MANUAL DE VALA COM PROFUNDIDADE  MENOR OU IGUAL A 1,5M ;ED-51107 ;m3    ;0,3000000;53,41;16,02;
Serviço: ED-14581;CANALETA PARA DRENAGEM, EM CONCRETOFORMA E DESFORMA DE COMPENSADO RESINADO, ESP. 12MM, REAPROVEITAMENTO (3X) ( FUNDAÇÃO) ;ED-49811 ;m2    ;0,8000000;51,53;41,22;
Serviço: ED-14581;CANALETA PARA DRENAGEM, EM CONCRETOTRANSPORTE DE MATERIAL DEMOLIDO EM CAÇAMBA ;ED-51125 ;m3    ;0,3000000;30,00;9,00;
Serviço: ED-14581;CANALETA PARA DRENAGEM, EM CONCRETOSETOP-MG Internet: www.transportes.mg.gov.br FONE: (31) 3915 8309 - FAX: (31) 3915 8352 Rodovia Papa João Paulo ii, nº 4.143 (mg 010), Prédio Minas, 7º Andar - Serra Verde - cep 31630-901 - BH / MG SECRETARIA DE ESTADO DE TRANSPORTES E OBRAS PÚBLICAS Página: 817 de 3459 SUBSECRETARIA DE OBRAS PÚBLICAS SUPERINTENDÊNCIA DE COORDENAÇÃO TÉCNICA DIRETORIA DE CUSTOS TRANSPORTE, LANÇAMENTO E ADENSAMENTO E ACABAMENTO DE CONCRETO EM FUNDAÇÃO /RADIER ;ED-48324 ;m3    ;0,1470000;85,52;12,57;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-14743;CANALETA PARA DRENAGEM, EM CONCRETOAPILOAMENTO DO FUNDO DE VALAS COM SOQUETE ;ED-51093 ;m2    ;0,8000000;18,06;14,44;
Serviço: ED-14743;CANALETA PARA DRENAGEM, EM CONCRETOAPLICAÇÃO DE LONA PRETA, ESP. 150 MICRAS, INCLUSIVE FORNECIMENTO ;ED-50600 ;m2    ;0,8400000;2,44;2,04;
Serviço: ED-14743;CANALETA PARA DRENAGEM, EM CONCRETOCONCRETO NÃO ESTRUTURAL, PREPARADO EM OBRA COM BETONEIRA , CONTROLE "B", COM FCK 15 MPA, BRITA Nº (1 E 2), CONSISTÊNCIA PARA VIBRAÇÃO (FABRICAÇÃO) ;ED-48315 ;m3    ;0,1470000;390,10;57,34;
Serviço: ED-14743;CANALETA PARA DRENAGEM, EM CONCRETOCORTE, DOBRA E MONTAGEM DE AÇO CA-60 DIÂMETRO (4,2MM A 5,0MM) ;ED-48297 ;Kg    ;3,9424000;15,37;60,59;
Serviço: ED-14743;CANALETA PARA DRENAGEM, EM CONCRETOESCAVAÇÃO MANUAL DE VALA COM PROFUNDIDADE  MENOR OU IGUAL A 1,5M ;ED-51107 ;m3    ;0,5000000;53,41;26,70;
Serviço: ED-14743;CANALETA PARA DRENAGEM, EM CONCRETOFORMA E DESFORMA DE COMPENSADO RESINADO, ESP. 12MM, REAPROVEITAMENTO (3X) ( FUNDAÇÃO) ;ED-49811 ;m2    ;2,0000000;51,53;103,06;
Serviço: ED-14743;CANALETA PARA DRENAGEM, EM CONCRETOREATERRO COMPACTADO DE VALA COM EQUIPAMENTO PLACA VIBRATÓRIA ;ED-51121 ;m3    ;0,2000000;33,41;6,68;
